Reward,Action,Angle_unwrap,AngleSpeed,Action_RL,Action_ubar,Action_uBAR,Angle
-0.5599608665806944,6.453165545657876,-0.658836253120871,0.9344488104891356,-15.267003702274494,21.554541321344317,0.16562793,-0.658836253120871
-0.5455968020812374,4.920582863079646,-0.5981668318488004,1.2133884254414131,-14.87507610863784,19.630030091455108,0.16562888,-0.5981668318488004
-0.5185695735168303,3.6789764464154984,-0.5310224077237635,1.342888482500738,-12.620526858551106,16.13387229383818,0.16563101,-0.5310224077237634
-0.4695666508470522,2.692007744973253,-0.4626784961655306,1.3668782311646572,-9.508336065580128,12.034711592430895,0.16563222,-0.4626784961655306
-0.4045947101874325,1.9203409828082991,-0.3966700241646484,1.320169440017646,-7.672579571682018,9.427287337990037,0.16563322,-0.3966700241646484
-0.33339012848901856,1.326003537923378,-0.33520461605610075,1.229308162170952,-6.557693148070933,7.718062798941773,0.16563389,-0.33520461605610075
-0.2642474393871761,0.8748994249888025,-0.2795135524290012,1.11382127254199,-6.167561691001017,6.8768271842338,0.16563393,-0.2795135524290012
-0.20247685186142314,0.5378133070473865,-0.23013469322911384,0.9875771839977474,-5.7326369580948295,6.1048164823978075,0.16563378,-0.23013469322911387
-0.15057720784341472,0.29045030635955715,-0.18713153177168976,0.8600632291484808,-5.1678685413659045,5.292685318300793,0.16563353,-0.18713153177168976
-0.1090018512496495,0.11298341957723768,-0.15025754243926928,0.73747978664841,-4.6406833431113546,4.588033575990631,0.16563319,-0.1502575424392693
-0.07696508453908991,-0.01057864370638617,-0.11907637211077544,0.6236234065698767,-4.148448142850343,3.9722366551727055,0.16563284,-0.11907637211077544
-0.053078452882421294,-0.0930331402012814,-0.09304776923174164,0.5205720575806759,-3.6464768945637664,3.3878113425249072,0.16563241,-0.09304776923174164
-0.03577831162396288,-0.1445598546677367,-0.0715876238061659,0.4292029085115149,-3.206756087754587,2.8965644769003656,0.16563176,-0.0715876238061659
-0.023576301801762376,-0.17320580843280675,-0.054108765477870135,0.3495771665659152,-2.7546927558998533,2.415855742623525,0.1656312,-0.054108765477870135
-0.015182509628662869,-0.18528785361794275,-0.040047654793320585,0.2812222136909909,-2.41189730913157,2.060978563594491,0.16563089,-0.040047654793320585
-0.009546900084353237,-0.18572044201471605,-0.028880833079473076,0.2233364342769504,-2.0999580494407057,1.7486069837277551,0.16563062,-0.028880833079473072
-0.0058538043888744454,-0.1782851142294477,-0.020134030409257937,0.17493605340430268,-1.8653595945844976,1.5214440801742333,0.16563039999999998,-0.02013403040925794
-0.003493148376731423,-0.1658520971926425,-0.01338609359738907,0.13495873623737736,-1.7521790058817373,1.4206966426187289,0.16563027,-0.013386093597389069
-0.0020232425139537105,-0.1505621581827632,-0.008269336490548139,0.10233514213681863,-1.8256146268945697,1.5094223218507303,0.16563015,-0.008269336490548139
-0.0011335801503155865,-0.13397795604273055,-0.0044675106382281015,0.07603651704640074,-2.229112101975419,1.9295041033797404,0.16563004,-0.0044675106382281015
-0.0006118515571930169,-0.11720799220008925,-0.0017122758190585494,0.055104696383391036,-3.0354270725281536,2.752589127182084,0.16562995,-0.0017122758190585491
-0.00031678738238833217,-0.10100860140219936,0.00022118417775606825,0.03866919993629235,-4.089588108278886,3.822949628236513,0.16562988,0.00022118417775606825
-0.00015695280684020836,-0.08586723489447845,0.0015189343194603195,0.025955002834085025,-5.069753720519762,4.818256651688592,0.16562983,0.0015189343194603195
-7.486736789672198e-05,-0.07206933618503264,0.0023331244548539234,0.016283802707872073,-5.991954339459062,5.754255214040822,0.16562979,0.0023331244548539234
-3.553000575568536e-05,-0.05975209595450881,0.002786665958268928,0.009070830068300091,-6.677418626864197,6.452036786379964,0.16562974,0.002786665958268928
-1.8389293449110507e-05,-0.0489468126984578,0.002977606204631421,0.0038188049272498592,-7.062874421255048,6.848297878928026,0.16562973,0.002977606204631421
-1.1893568298012281e-05,-0.03961189822407096,0.002983117281987948,0.00011022154713053855,-7.145737780791495,6.940496167840023,0.16562971,0.002983117281987948
-9.902448256526588e-06,-0.031658247890328006,0.002863058232324593,-0.002401180993267105,-7.122654151260583,6.925366203544013,0.1656297,0.002863058232324593
-9.397085282329347e-06,-0.0249682963856932,0.0026631014968008858,-0.003999134710474141,-7.103879610330818,6.9132816290200445,0.16562968,0.0026631014968008858
-9.068171051937131e-06,-0.01941014235966421,0.002417434881665975,-0.004913332302698225,-7.161602910232213,6.976563082947471,0.16562968,0.002417434881665975
-8.47852825998786e-06,-0.0148476739329082,0.002151064431800073,-0.005327408997318043,-7.117886206070954,6.937408862114128,0.16562967,0.002151064431800073
-7.589474807648822e-06,-0.011147553786532429,0.0018817521825205488,-0.005386244985590479,-7.15383083788367,6.97705361407322,0.16562967,0.0018817521825205486
-6.50913073931808e-06,-0.008183884066668591,0.0016216264679401132,-0.005202514291608717,-7.279307621893937,7.105494067803352,0.16562967,0.0016216264679401132
-5.370405047750235e-06,-0.0058409888534782795,0.0013785043028541832,-0.004862443301718599,-7.32444430476537,7.152973645887974,0.16562967,0.0013785043028541832
-4.280729266476673e-06,-0.0040149305407206634,0.0011569640536977814,-0.004430804983128036,-7.406516183332694,7.236871582768055,0.16562967,0.0011569640536977814
-3.3086021089466944e-06,-0.0026140022086575954,0.0009592049303109117,-0.003955182467737393,-7.41854546766962,7.2503017954370454,0.16562967,0.0009592049303109117
-2.4868500742258345e-06,-0.0015585700444376016,0.000785726710961547,-0.003469564386987296,-7.518488780698428,7.351300540630071,0.16562967,0.000785726710961547
-1.821763306425029e-06,-0.0007804732931626647,0.000635859690542762,-0.002997340408375698,-7.558790152862022,7.392380009544941,0.16562967,0.000635859690542762
-1.3027718404274344e-06,-0.00022213059717834938,0.0005081714274336853,-0.002553765262181532,-7.619471720517219,7.4536199198961235,0.16562967,0.0005081714274336853
-9.104369625145685e-07,0.00016450356294406276,0.00040077336875526953,-0.0021479611735683176,-7.604495067250912,7.439029900789938,0.16562967,0.00040077336875526953
-6.221685948502362e-07,0.0004190243801200921,0.00031154699385375234,-0.0017845274980303433,-7.642479219364742,7.477268558819783,0.16562968,0.00031154699385375234
-4.1584448036118506e-07,0.0005736827165367941,0.00023830625140678168,-0.0014648148489394134,-7.656075189623825,7.491019187415281,0.16562968,0.0002383062514067817
-2.7178639133721283e-07,0.0006544216609212228,0.00017891015575989083,-0.0011879219129378165,-7.744419758691089,7.579444495426931,0.16562968,0.00017891015575989083
-1.7358960202617495e-07,0.0006818438738349641,0.00013133701997196623,-0.000951462715758492,-7.782963916231258,7.618016075180013,0.16562968,0.00013133701997196623
